id,total_games,win,lose,kill,death,assist,cs,jungle_cs,gold,pick_rate,ban_rate,ward,kills_per_game,deaths_per_game,assists_per_game,wards_per_game,gold_per_game,cs_per_game,jg_cs_per_game,win_rate,region,rank,sumofallgames,name,role1,role2,role3,class_type,archetype_type
421,2260,950,1310,13977,16924,13510,50641,209134,22363450,0.015,0.0338987996533007,2921,6.184513274336283,7.488495575221239,5.977876106194691,1.2924778761061948,9895.33185840708,22.407522123893806,92.53716814159291,42.0353982300885,kr,iron,1508785,Rek'Sai,Jungle,NA,NA,Fighter,Diver
427,795,284,511,1697,4211,6174,20221,63293,6700740,0.0053,0.002842021905692882,952,2.1345911949685537,5.29685534591195,7.766037735849056,1.1974842767295597,8428.603773584906,25.435220125786163,79.61383647798742,35.72327044025157,kr,iron,1508785,Ivern,Jungle,NA,NA,Controller,Catcher
429,4301,1998,2303,30473,31836,20132,605169,76203,49169395,0.0285,0.007213751447099365,2433,7.085096489188561,7.401999534991862,4.680771913508487,0.5656823994419903,11432.084398976982,140.70425482445944,17.717507556382238,46.454312950476634,kr,iron,1508785,Kalista,Bottom,NA,NA,Marksman,Marksman
432,834,351,483,2055,4581,7851,27453,2952,6353181,0.0055,0.0012394078631796064,1436,2.464028776978417,5.4928057553956835,9.413669064748202,1.7218225419664268,7617.723021582734,32.91726618705036,3.539568345323741,42.086330935251794,kr,iron,1508785,Bard,Support,NA,NA,Controller,Catcher
497,2833,1399,1434,4527,16658,33846,89427,2270,20554276,0.0188,0.00433593918474867,8004,1.5979527003176843,5.879985880691846,11.947052594422873,2.825273561595482,7255.303918108013,31.566184256971408,0.801270737733851,49.382280268266854,kr,iron,1508785,Rakan,Support,NA,NA,Controller,Catcher
498,8189,4055,4134,45881,49957,52941,1188393,100382,86772061,0.0543,0.03200986208845731,6753,5.602759799731347,6.100500671632678,6.464891928196361,0.8246428135303456,10596.173037000855,145.12064965197214,12.258151178410062,49.51764562217609,kr,iron,1508785,Xayah,Bottom,NA,NA,Marksman,Marksman
516,4339,2222,2117,14612,24706,34471,511038,23043,39408086,0.0288,0.005133269481888823,2462,3.3675962203272642,5.693938695551971,7.944457248213874,0.5674118460474764,9082.296842590458,117.77782899285549,5.310670661442729,51.209956211108555,kr,iron,1508785,Ornn,Top,NA,NA,Tank,Vanguard
517,24416,11497,12919,164093,182766,139511,2364712,229979,234251627,0.1618,0.09730279627727023,18653,6.720715923984272,7.485501310615989,5.713917103538663,0.76396625163827,9594.185247378768,96.85091743119266,9.419192332896461,47.0879750982962,kr,iron,1508785,Sylas,Mid,Top,NA,Mage,Burst
518,6370,3295,3075,29449,39437,44322,550942,33050,59041167,0.0422,0.01072783726415244,10842,4.623076923076923,6.191051805337519,6.957927786499215,1.7020408163265306,9268.629042386185,86.49010989010989,5.188383045525903,51.72684458398744,kr,iron,1508785,Neeko,Mid,Support,NA,Mage,Burst
523,4654,2165,2489,27572,33277,26527,633483,53383,49630788,0.0308,0.009483789890162018,3344,5.92436613665664,7.150193382036957,5.699828104856038,0.7185217017619252,10664.114310270736,136.11581435324453,11.470348087666524,46.519123334765794,kr,iron,1508785,Aphelios,Bottom,NA,NA,Marksman,Marksman
526,692,338,354,1163,4667,7801,20340,726,4939806,0.0046,0.007521946471935496,1599,1.680635838150289,6.744219653179191,11.273121387283236,2.310693641618497,7138.447976878612,29.393063583815028,1.0491329479768785,48.84393063583815,kr,iron,1508785,Rell,Support,NA,NA,Tank,Vanguard
555,26716,13546,13170,187803,185425,186106,1116828,66502,281248273,0.1771,0.2199743503840114,33446,7.029607725707441,6.940597394819584,6.9660877376852826,1.2519089684084443,10527.334668363528,41.80371313070819,2.489219943105255,50.70369815840695,kr,iron,1508785,Pyke,Support,NA,NA,Slayer,Assassin
711,17996,8831,9165,101815,123035,121857,1936649,67252,170405550,0.1193,0.13684454706201668,20886,5.657646143587464,6.83679706601467,6.771338075127806,1.160591242498333,9469.079239831073,107.61552567237163,3.737052678372972,49.07201600355634,kr,iron,1508785,Vex,Mid,NA,NA,Mage,Burst
